#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type
6,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase.,S-adenosyl-L-methionine = 1-aminocyclopropane-1-carboxylate + methylthioadenosine.,Pyridoxal-phosphate.,\N,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
416,3.6.4.-,Acting on acid anhydrides; involved in cellular and,\N,\N,\N,\N,\N,\N
448,5.3.3.5,Cholestenol delta-isomerase.,5-alpha-cholest-7-en-3-beta-ol = 5-alpha-cholest-8-en-3-beta-ol.,\N,\N,Sterol biosynthesis,Lipid Metabolism,METABOLIC
451,1.1.1.100,3-oxoacyl-[acyl-carrier protein] reductase.,(3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP(+) = 3-oxoacyl- [acyl-carrier protein] + NADPH.,\N,\N,Fatty acid biosynthesis (path 1),Lipid Metabolism,METABOLIC
452,2.3.1.88,Peptide alpha-N-acetyltransferase.,Acetyl-CoA + peptide = CoA + N-acetylpeptide.,\N,\N,\N,\N,\N
461,3.6.3.44,Xenobiotic-transporting ATPase.,ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).,\N,\N,\N,\N,\N
465,2.4.1.82,Galactinol--sucrose galactosyltransferase.,1-alpha-D-galactosyl-myo-inositol + sucrose = myo-inositol + raffinose.,\N,\N,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
467,3.1.1.23,Acylglycerol lipase.,Hydrolyses glycerol monoesters of long-chain fatty acids.,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
484,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
484,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
484,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
484,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
484,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
484,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Styrene degradation,Biodegradation of Xenobiotics,METABOLIC
485,2.7.1.11,6-phosphofructokinase.,"ATP + D-fructose 6-phosphate = ADP + D-fructose 1,6-bisphosphate.",\N,Glycogen storage disease VII; MIM:232800.,Pentose phosphate pathway,Carbohydrate Metabolism,METABOLIC
485,2.7.1.11,6-phosphofructokinase.,"ATP + D-fructose 6-phosphate = ADP + D-fructose 1,6-bisphosphate.",\N,Glycogen storage disease VII; MIM:232800.,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
485,2.7.1.11,6-phosphofructokinase.,"ATP + D-fructose 6-phosphate = ADP + D-fructose 1,6-bisphosphate.",\N,Glycogen storage disease VII; MIM:232800.,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
485,2.7.1.11,6-phosphofructokinase.,"ATP + D-fructose 6-phosphate = ADP + D-fructose 1,6-bisphosphate.",\N,Glycogen storage disease VII; MIM:232800.,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
487,3.1.3.-,Phosphoric monoester hydrolases.,\N,\N,\N,Vitamin B6 metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
487,3.1.3.-,Phosphoric monoester hydrolases.,\N,\N,\N,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
487,3.1.3.-,Phosphoric monoester hydrolases.,\N,\N,\N,Nicotinate and nicotinamide metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
487,3.1.3.-,Phosphoric monoester hydrolases.,\N,\N,\N,Thiamine metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
487,3.1.3.-,Phosphoric monoester hydrolases.,\N,\N,\N,Aminosugars metabolism,Metabolism of Complex Carbohydrates,METABOLIC
487,3.1.3.-,Phosphoric monoester hydrolases.,\N,\N,\N,Riboflavin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
491,4.1.3.1,Isocitrate lyase.,Isocitrate = succinate + glyoxylate.,\N,\N,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism,METABOLIC
492,2.3.3.1,Citrate (si)-synthase.,\N,Citrate + CoA = acetyl-CoA + H(2)O + oxaloacetate.,\N,\N,\N,\N
496,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
496,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
496,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
496,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
496,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
497,3.5.1.6,Beta-ureidopropionase.,N-carbamoyl-beta-alanine + H(2)O = beta-alanine + CO(2) + NH(3).,\N,\N,beta-Alanine metabolism,Metabolism of Other Amino Acids,METABOLIC
497,3.5.1.6,Beta-ureidopropionase.,N-carbamoyl-beta-alanine + H(2)O = beta-alanine + CO(2) + NH(3).,\N,\N,Pyrimidine metabolism,Nucleotide Metabolism,METABOLIC
497,3.5.1.6,Beta-ureidopropionase.,N-carbamoyl-beta-alanine + H(2)O = beta-alanine + CO(2) + NH(3).,\N,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
503,1.14.13.22,Cyclohexanone monooxygenase.,Cyclohexanone + NADPH + O(2) = 6-hexanolide + NADP(+) + H(2)O.,FAD.,\N,Caprolactam degradation,Biodegradation of Xenobiotics,METABOLIC
508,2.7.1.33,Pantothenate kinase.,ATP + pantothenate = ADP + D-4'-phosphopantothenate.,\N,\N,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
511,1.14.13.12,Benzoate 4-monooxygenase.,Benzoate + NADPH + O(2) = 4-hydroxybenzoate + NADP(+) + H(2)O.,Iron; Tetrahydropteridine.,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
513,2.3.1.26,Sterol O-acyltransferase.,Acyl-CoA + cholesterol = CoA + cholesterol ester.,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
515,1.14.13.8,Dimethylaniline monooxygenase (N-oxide forming).,"N,N-dimethylaniline + NADPH + O(2) = N,N-dimethylaniline N-oxide + NADP(+) + H(2)O.",FAD.,"Trimethylaminuria; MIM:602079,",\N,\N,\N
526,3.1.3.48,Protein-tyrosine-phosphatase.,Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate.,\N,\N,\N,\N,\N
535,1.15.1.1,Superoxide dismutase.,2 peroxide radical + 2 H(+) = O(2) + H(2)O(2).,Copper and Zinc or Iron or Manganese.,\N,\N,\N,\N
538,3.2.1.22,Alpha-galactosidase.,Melibiose + H(2)O = galactose + glucose.,Magnesium; NAD.,Diffuse angiokeratoma (Fabry disease); MIM:301500.,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
538,3.2.1.22,Alpha-galactosidase.,Melibiose + H(2)O = galactose + glucose.,Magnesium; NAD.,Diffuse angiokeratoma (Fabry disease); MIM:301500.,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
538,3.2.1.22,Alpha-galactosidase.,Melibiose + H(2)O = galactose + glucose.,Magnesium; NAD.,Diffuse angiokeratoma (Fabry disease); MIM:301500.,Globoside metabolism,Metabolism of Complex Lipids,METABOLIC
538,3.2.1.22,Alpha-galactosidase.,Melibiose + H(2)O = galactose + glucose.,Magnesium; NAD.,Diffuse angiokeratoma (Fabry disease); MIM:301500.,Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
541,1.3.99.-,With other acceptors.,\N,\N,\N,Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
541,1.3.99.-,With other acceptors.,\N,\N,\N,Sterol biosynthesis,Lipid Metabolism,METABOLIC
541,1.3.99.-,With other acceptors.,\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
542,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
542,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
542,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
542,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
542,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
542,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Styrene degradation,Biodegradation of Xenobiotics,METABOLIC
547,1.1.1.170,3-beta-hydroxy-4-alpha-methylcholestenecarboxylate 3-dehydrogenase (decarboxylating).,3-beta-hydroxy-4-alpha-methyl-5-alpha-cholest-7-ene-4-beta-carboxylate + NAD(+) = 4-alpha-methyl-5-alpha-cholest-7-en-3-one + CO(2) + NADH.,\N,\N,\N,\N,\N
551,1.1.1.208,(+)-neomenthol dehydrogenase.,(+)-neomenthol + NADP(+) = (-)-menthone + NADPH.,\N,\N,\N,\N,\N
552,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
552,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
552,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
552,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
552,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
552,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Styrene degradation,Biodegradation of Xenobiotics,METABOLIC
555,3.1.1.17,Gluconolactonase.,"D-glucono-1,5-lactone + H(2)O = D-gluconate.",\N,\N,Caprolactam degradation,Biodegradation of Xenobiotics,METABOLIC
555,3.1.1.17,Gluconolactonase.,"D-glucono-1,5-lactone + H(2)O = D-gluconate.",\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
555,3.1.1.17,Gluconolactonase.,"D-glucono-1,5-lactone + H(2)O = D-gluconate.",\N,\N,Pentose phosphate pathway,Carbohydrate Metabolism,METABOLIC
558,1.2.1.5,Aldehyde dehydrogenase (NAD(P)+).,An aldehyde + NAD(P)(+) + H(2)O = an acid + NAD(P)H.,\N,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
558,1.2.1.5,Aldehyde dehydrogenase (NAD(P)+).,An aldehyde + NAD(P)(+) + H(2)O = an acid + NAD(P)H.,\N,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
558,1.2.1.5,Aldehyde dehydrogenase (NAD(P)+).,An aldehyde + NAD(P)(+) + H(2)O = an acid + NAD(P)H.,\N,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
558,1.2.1.5,Aldehyde dehydrogenase (NAD(P)+).,An aldehyde + NAD(P)(+) + H(2)O = an acid + NAD(P)H.,\N,\N,Histidine metabolism,Amino Acid Metabolism,METABOLIC
560,3.2.1.39,"Glucan endo-1,3-beta-D-glucosidase.","Hydrolysis of 1,3-beta-D-glucosidic linkages in 1,3-beta-D-glucans.",\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
565,1.1.99.1,Choline dehydrogenase.,Choline + acceptor = betaine aldehyde + reduced acceptor.,PQQ.,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
568,3.1.3.36,Phosphatidylinositol-bisphosphatase.,"Phosphatidyl-myo-inositol 4,5-bisphosphate + H(2)O = phosphatidylinositol 4-phosphate + phosphate.",\N,\N,\N,\N,\N
571,6.3.2.17,Folylpolyglutamate synthase.,ATP + {tetrahydrofolyl-[Glu]}(N) + L-glutamate = ADP + phosphate + {tetrahydrofolyl-[Glu]}(N+1).,\N,\N,Folate biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
576,2.3.1.97,Glycylpeptide N-tetradecanoyltransferase.,Tetradecanoyl-CoA + glycyl-peptide = CoA + N-tetradecanoylglycyl- peptide.,\N,\N,\N,\N,\N
579,3.1.-.-,Acting on ester bonds.,\N,\N,\N,\N,\N,\N
581,3.1.3.16,Serine/threonine specific protein phosphatase.,A phosphoprotein + H(2)O = a protein + phosphate.,\N,\N,\N,\N,\N
589,4.2.1.11,Phosphopyruvate hydratase.,2-phospho-D-glycerate = phosphoenolpyruvate + H(2)O.,Magnesium.,\N,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid Metabolism,METABOLIC
589,4.2.1.11,Phosphopyruvate hydratase.,2-phospho-D-glycerate = phosphoenolpyruvate + H(2)O.,Magnesium.,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
599,3.4.13.19,Membrane dipeptidase.,"Hydrolysis of dipeptides. Hydrophobic dipeptides are cleaved preferentially, including prolyl amino acids.",Zinc.,\N,\N,\N,\N
606,3.6.1.3,Adenosinetriphosphatase.,ATP + H(2)O = ADP + phosphate.,\N,Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.,Purine metabolism,Nucleotide Metabolism,METABOLIC
607,2.3.2.5,Glutaminyl-peptide cyclotransferase.,L-glutaminyl-peptide = 5-oxoprolyl-peptide + NH(3).,\N,\N,\N,\N,\N
610,4.2.1.53,Oleate hydratase.,(R)-10-hydroxystearate = oleate + H(2)O.,\N,\N,\N,\N,\N
611,1.2.1.31,Aminoadipate-semialdehyde dehydrogenase.,L-2-aminoadipate 6-semialdehyde + NADP(+) + H(2)O = L-2-aminoadipate + NADPH.,\N,\N,Lysine biosynthesis,Amino Acid Metabolism,METABOLIC
611,1.2.1.31,Aminoadipate-semialdehyde dehydrogenase.,L-2-aminoadipate 6-semialdehyde + NADP(+) + H(2)O = L-2-aminoadipate + NADPH.,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
613,2.1.1.43,Histone-lysine N-methyltransferase.,S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine.,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
615,2.6.1.16,Glutamine-fructose-6-phosphate transaminase (isomerizing).,L-glutamine + D-fructose 6-phosphate = L-glutamate + D-glucosamine 6-phosphate.,\N,\N,Aminosugars metabolism,Metabolism of Complex Carbohydrates,METABOLIC
615,2.6.1.16,Glutamine-fructose-6-phosphate transaminase (isomerizing).,L-glutamine + D-fructose 6-phosphate = L-glutamate + D-glucosamine 6-phosphate.,\N,\N,Glutamate metabolism,Amino Acid Metabolism,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,O-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Peptidoglycan biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Blood group glycolipid biosynthesis - lact series,Metabolism of Complex Lipids,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Blood group glycolipid biosynthesis - neolact series,Metabolism of Complex Lipids,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Globoside metabolism,Metabolism of Complex Lipids,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Chondroitin / heparan sulfate biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Keratan sulfate biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
616,2.4.1.-,Hexosyltransferases.,\N,\N,\N,N-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
620,3.4.25.1,Proteasome endopeptidase complex.,Cleavage at peptide bonds with very broad specificity.,\N,\N,\N,\N,\N
621,2.6.1.13,Ornithine--oxo-acid aminotransferase.,L-ornithine + a 2-oxo acid = L-glutamate 5-semialdehyde + an L-amino acid.,Pyridoxal-phosphate.,Ornithinemia with gyrate atrophy of choroid and retina; MIM:258870.,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
621,2.6.1.13,Ornithine--oxo-acid aminotransferase.,L-ornithine + a 2-oxo acid = L-glutamate 5-semialdehyde + an L-amino acid.,Pyridoxal-phosphate.,Ornithinemia with gyrate atrophy of choroid and retina; MIM:258870.,Urea cycle and metabolism of amino groups,Amino Acid Metabolism,METABOLIC
627,3.6.3.44,Xenobiotic-transporting ATPase.,ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).,\N,\N,\N,\N,\N
628,3.1.1.7,Acetylcholinesterase.,Acetylcholine + H(2)O = choline + acetate.,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
629,1.11.1.5,Cytochrome-c peroxidase.,2 ferrocytochrome c + H(2)O(2) = 2 ferricytochrome c + 2 H(2)O.,Heme.,\N,\N,\N,\N
632,6.2.1.-,Acid--thiol ligases.,\N,\N,\N,Ethylbenzene degradation,Biodegradation of Xenobiotics,METABOLIC
632,6.2.1.-,Acid--thiol ligases.,\N,\N,\N,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
633,6.2.1.-,Acid--thiol ligases.,\N,\N,\N,Ethylbenzene degradation,Biodegradation of Xenobiotics,METABOLIC
633,6.2.1.-,Acid--thiol ligases.,\N,\N,\N,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
634,3.1.4.11,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase.","1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + H(2)O = D-myo- inositol 1,4,5-trisphosphate + diacylglycerol.",\N,\N,Inositol phosphate metabolism,Metabolism of Complex Lipids,METABOLIC
640,1.6.5.5,NADPH:quinone reductase.,NADPH + quinone = NADP(+) + semiquinone.,Zinc.,\N,\N,\N,\N
641,2.4.1.207,Xyloglucan:xyloglucosyl transferase.,"Breaks a beta-(1->4) bond in the backbone of a xyloglucan and transfers the xyloglucanyl segment on to O-4 of the non-reducing terminal glucose residue of an acceptor, which can be a xyloglucan or an oligosaccharide of xyloglucan.",\N,\N,\N,\N,\N
658,1.6.99.3,NADH dehydrogenase.,NADH + acceptor = NAD(+) + reduced acceptor.,Flavoprotein; Iron-sulfur.,\N,\N,\N,\N
668,6.1.1.20,Phenylalanine--tRNA ligase.,ATP + L-phenylalanine + tRNA(Phe) = AMP + diphosphate + L-phenylalanyl-tRNA(Phe).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
668,6.1.1.20,Phenylalanine--tRNA ligase.,ATP + L-phenylalanine + tRNA(Phe) = AMP + diphosphate + L-phenylalanyl-tRNA(Phe).,\N,\N,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid Metabolism,METABOLIC
670,2.4.2.-,Pentosyltransferases.,\N,\N,\N,\N,\N,\N
672,1.14.13.22,Cyclohexanone monooxygenase.,Cyclohexanone + NADPH + O(2) = 6-hexanolide + NADP(+) + H(2)O.,FAD.,\N,Caprolactam degradation,Biodegradation of Xenobiotics,METABOLIC
681,2.5.1.18,Glutathione transferase.,RX + glutathione = HX + R-S-glutathione.,\N,\N,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
682,4.1.1.17,Ornithine decarboxylase.,L-ornithine = putrescine + CO(2).,Pyridoxal-phosphate.,\N,Urea cycle and metabolism of amino groups,Amino Acid Metabolism,METABOLIC
682,4.1.1.17,Ornithine decarboxylase.,L-ornithine = putrescine + CO(2).,Pyridoxal-phosphate.,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
682,4.1.1.17,Ornithine decarboxylase.,L-ornithine = putrescine + CO(2).,Pyridoxal-phosphate.,\N,Alkaloid biosynthesis II,Biosynthesis of Secondary Metabolites,METABOLIC
692,2.1.1.43,Histone-lysine N-methyltransferase.,S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine.,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
694,5.2.1.8,Peptidylprolyl isomerase.,Peptidylproline (omega=180) = peptidylproline (omega=0).,\N,\N,\N,\N,\N
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Vitamin B6 metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Nucleotide sugars metabolism,Nucleotide Metabolism,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Tetrachloroethene degradation,Biodegradation of Xenobiotics,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
704,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
707,1.13.12.4,Lactate 2-monooxygenase.,(S)-lactate + O(2) = acetate + CO(2) + H(2)O.,FMN.,\N,Pyruvate metabolism,Carbohydrate Metabolism,METABOLIC
708,1.2.1.3,Aldehyde dehydrogenase (NAD+).,An aldehyde + NAD(+) + H(2)O = an acid + NADH.,\N,Acute alcohol intolerance; MIM:100650.,"1,2-Dichloroethane degradation",Biodegradation of Xenobiotics,METABOLIC
708,1.2.1.3,Aldehyde dehydrogenase (NAD+).,An aldehyde + NAD(+) + H(2)O = an acid + NADH.,\N,Acute alcohol intolerance; MIM:100650.,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
708,1.2.1.3,Aldehyde dehydrogenase (NAD+).,An aldehyde + NAD(+) + H(2)O = an acid + NADH.,\N,Acute alcohol intolerance; MIM:100650.,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
708,1.2.1.3,Aldehyde dehydrogenase (NAD+).,An aldehyde + NAD(+) + H(2)O = an acid + NADH.,\N,Acute alcohol intolerance; MIM:100650.,"Valine, leucine and isoleucine degradation",Amino Acid Metabolism,METABOLIC
